Date,Close/Last,Volume,,,
12/8/2021,$196.39 ,4255930,,,
12/7/2021,$199.03 ,5815641,,,
12/6/2021,$194.61 ,4084647,,,
12/3/2021,$193.38 ,4901026,,,
12/2/2021,$193.58 ,4236799,,,
12/1/2021,$191.76 ,7279100,,,
11/30/2021,$192.37 ,8775583,,,
11/29/2021,$194.38 ,4576415,,,
11/26/2021,$188.26 ,3324890,,,
11/24/2021,$193.60 ,6494330,,,
11/23/2021,$192.64 ,4881500,,,
11/22/2021,$192.50 ,4712643,,,
11/19/2021,$195.16 ,5133458,,,
11/18/2021,$193.47 ,4677555,,,
11/17/2021,$189.57 ,4167752,,,
11/16/2021,$188.52 ,3312037,,,
11/15/2021,$189.23 ,2985254,,,
11/12/2021,$190.08 ,3121684,,,
11/11/2021,$188.60 ,2554845,,,
11/10/2021,$187.02 ,4304584,,,
11/9/2021,$190.79 ,4314936,,,
11/8/2021,$192.36 ,5213902,,,
11/5/2021,$193.40 ,4510522,,,
11/4/2021,$191.11 ,4827970,,,
11/3/2021,$189.19 ,3666866,,,
11/2/2021,$189.34 ,4009677,,,
11/1/2021,$187.47 ,4203904,,,
10/29/2021,$187.48 ,4552271,,,
10/28/2021,$187.87 ,5123007,,,
10/27/2021,$187.10 ,10365480,,,
10/26/2021,$196.98 ,5837478,,,
10/25/2021,$200.20 ,4255061,,,
10/22/2021,$199.07 ,3649240,,,
10/21/2021,$201.29 ,3276309,,,
10/20/2021,$199.38 ,3043279,,,
10/19/2021,$198.23 ,2666322,,,
10/18/2021,$194.91 ,2804669,,,
10/15/2021,$194.45 ,2649003,,,
10/14/2021,$192.49 ,3413837,,,
10/13/2021,$187.10 ,3797435,,,
10/12/2021,$188.48 ,6225112,,,
10/11/2021,$193.37 ,2280205,,,
10/8/2021,$195.24 ,2574223,,,
10/7/2021,$195.31 ,2873192,,,
10/6/2021,$194.39 ,3103428,,,
10/5/2021,$193.88 ,3860158,,,
10/4/2021,$190.40 ,3934248,,,
10/1/2021,$193.79 ,2986088,,,
9/30/2021,$192.21 ,3272316,,,
9/29/2021,$193.07 ,3436848,,,
9/28/2021,$194.89 ,4274598,,,
9/27/2021,$200.33 ,3022270,,,
9/24/2021,$200.65 ,3191769,,,
9/23/2021,$198.67 ,2757054,,,
9/22/2021,$195.92 ,3526368,,,
